,loop_id,rmse,a0,a1,a2,a3,a4,b0,b1,b2,b3
1528,1528,1.3932142604816129e-05,-0.00011059428098872043,0.0002163894330162804,6.495592436764113,-3.6145345954938706,8.827347700365119e-07,2.384949615385824,2.07143660625083,0.04703957655489575,1.21903776288542
1529,1529,1.8249557099448998e-05,-0.00022503354993938605,0.00036180612785319813,7.240675028359932,-2.993573679197388,2.4843100430159532e-06,2.3846161796376797,0.0010190978737184293,0.11783535785399885,0.549378695741766
1530,1530,7.451165096704101e-06,-6.608527619287855e-05,0.00012493899918693854,7.449358187419451,-3.4778736486021056,-9.442604008150901e-07,2.3023896530160632,0.0010000001,2.465143977223085,3.628252652952309
1531,1531,4.525017847166234e-06,-5.351088973294885e-05,0.0001442043578462263,7.735445560393335,-4.774695631656652,1.4352427697170736e-06,3.9528233469483434,0.3521961124262627,0.007523757721860195,2.394051478720247
1532,1532,2.7094391786328893e-06,-9.620287315239797e-05,0.00013147826544475,8.49999999915,-2.3394111029029023,2.929834779375812e-07,6.2774570136640495,0.20727643007168503,2.316113067194435,1.6808420606448398
1533,1533,4.674291674957118e-06,-0.00010300519854324186,0.0001193070570696221,8.499991577073684,-2.902192604861801,-5.704162675016556e-07,11.160035204410518,1.3789427475636424,4.266296627150314,3.175084548163526
1534,1534,1.1816092032943934e-06,-2.5143529386994493e-05,3.348739835580144e-05,7.060114116891366,-5.1245176252180205,1.59144150927298e-07,4.168904761133957,1.270774280333315,1.4788818570877218,5.2016766825715255
1535,1535,4.310900448688799e-06,-4.221702850975938e-05,0.00010938426730665787,4.630090958161468,-2.4807757271943336,7.777304805107006e-08,2.5067852742708014,2.5750513099475145,4.313412798688479,2.476661049575117
1536,1536,1.814723854159945e-05,-0.00023484638849554997,0.00036751402578894367,5.010023724952088,-1.7064892431734573,-6.415993248889859e-07,3.1089481189336388,1.60294018647054,5.644648166657684,0.7628099981622773
1537,1537,1.6317355585147024e-05,-8.77951424792227e-05,0.0001250283717030104,3.8466394655152873,-2.904259264213964,2.820422437565468e-06,0.0010000001,2.55741528124909,1.2015619073811428,0.0010000001
1538,1538,2.725137966181878e-05,-0.00017441730783463623,0.0003459228107440885,3.467723688172878,-7.4230780414008395,3.2478924974845533e-06,0.004634477365276744,3.495400930738114,0.016277685323132247,9.92125819585678
1539,1539,1.7580270975507189e-06,-9.499620172199324e-06,3.4648350887591184e-05,4.940961397726242,-2.4860361223863356,-9.948796299142765e-07,2.9226780599079376,3.087821480966764,2.7578379083888906,1.269348188743744
1540,1540,2.7549877725062136e-06,-1.695605387190166e-05,4.5025661000041205e-05,3.491526894961331,-4.049946662731841,-9.754257116745857e-07,2.3083971181727576,4.064475015091867,1.6460420395775834,2.308666775355803
1541,1541,6.711428856069259e-06,-7.199525995127903e-05,0.0001211012278992425,3.717891154693462,-4.286852320825639,1.7461509419211252e-06,0.0010000121023147604,1.5265490760850218,0.001324156547858619,0.4572508375962841
1542,1542,9.359109526742578e-06,-9.187878744295564e-05,0.00015421731576719877,4.328483085904398,-2.7582667981560083,1.3670577602178652e-06,0.8640562132029259,1.3109354425190496,2.7154758687985017,0.0010000001
1543,1543,8.030154271255775e-06,-5.112093185368609e-05,9.222741956688568e-05,3.7239492909591156,-2.4078720256740853,2.3710725039978793e-06,0.010181412745893162,2.1088441818230845,0.22601345158414404,0.004608714059697656
1544,1544,2.9486845273234472e-05,-0.00036515392402509885,0.00044784090881715485,2.7865685154926374,-4.089090903805879,-3.0690304542496264e-06,0.5626114230655053,1.8771020316176223,0.0010000001,1.3039169342562684
1545,1545,2.2838381233848154e-05,-0.00028862050647681466,0.0004020923688370171,3.9044635370234375,-5.09767096106813,-2.9148001803150296e-06,1.739890280616286,0.0010000017274421102,0.9480426385125627,2.9457045010902
1546,1546,8.288357424098803e-07,-9.468442313606612e-06,2.0208967745560547e-05,-0.000893033984706126,-6.772179974002727,-5.951364427450926e-07,5.693971415156039,10.797876666833789,5.570152345666297,19.998360276808533
